alpha,beta,gamma,objective_total_cost,obj_investment,obj_V_index,obj_Power_loss,pv_bus_1,pv_bus_2,pv_bus_3,pv_bus_4,pv_bus_5,pv_bus_6,pv_bus_7,pv_bus_8,pv_bus_9,pv_bus_10,pv_bus_11,pv_bus_12,pv_bus_13,pv_bus_14,pv_bus_15,pv_bus_16,pv_bus_17,pv_bus_18
0.0,0.0,1.0,3.4863195314724557e-9,439602.0618742144,7.912195087097068,3.4863195314724557e-9,8808.250250532365,8840.680680395266,8897.825973746709,8931.61075685578,9040.379887797364,9068.357797415325,9124.343536817436,9184.456406502424,8838.342504969216,8742.117406620899,8707.48226620134,8677.975873831352,8686.39423012266,8676.045467158858,8681.458252514443,8685.38967470666,8842.320990955948,8842.677417571324
0.0,0.1,0.9,0.7183438538581203,461990.9907298183,7.183438488392223,5.5765529584733006e-9,9282.249626899806,8326.244507913994,8411.46803565478,9999.549862634383,9999.95257979466,9999.878835150717,9990.693734153692,8866.083476519283,8399.097682200916,9420.148472788102,8779.499600997573,8516.844401815302,9999.904225572865,8755.46093265759,9999.686785771024,8642.456822413325,9999.345563153322,9999.474973408072
0.0,0.2,0.8,1.4366874322540424,461787.45663934253,7.183437051431962,2.745956101937571e-8,8873.670435415208,8324.088427017969,8374.99667706469,9999.775513822986,9999.976329412802,9999.939408013484,9997.027196515372,8871.465866220997,8401.32967830104,9782.655776003972,8776.5206180415,8516.603362573944,9999.952188202413,8755.513448178323,9999.843499047392,8641.526392509906,9999.673241816601,9999.737825661185
0.0,0.3,0.7,2.1549244668804497,461944.61865944124,7.1830814270072105,5.5397553824355755e-8,9391.923127691301,8323.988063165913,8317.19349247781,9999.850328619099,9999.984259444978,9999.959675356276,9975.368360624154,8862.863392657544,8398.08941280227,9410.268691025503,8778.948269832668,8516.555029566049,9999.96816184088,8755.48561049715,9999.895712079928,8641.289503726997,9999.782246151646,9999.82530716491
0.0,0.4,0.6,2.873374617199821,461882.6117708868,7.1834364044414825,9.237204649243937e-8,9354.34067522605,8323.97700503563,8321.665119631976,9999.887865817544,9999.988217210368,9999.969768139734,9982.294779543292,8865.027304975702,8398.517986055556,9413.505172661698,8776.412287903597,8516.601473750754,9999.976149414822,8755.516186698158,9999.921813718907,8641.464699902175,9999.836814611803,9999.869060458335
0.0,0.5,0.5,3.5917181943743017,461541.59445516125,7.183436244973058,1.4377554711332356e-7,9224.085948605616,8323.7750907308,8321.509545230996,9999.916427057782,9999.990592555781,9999.975808058203,9986.486553855108,8867.708400901016,8398.617344276065,9413.430072240253,8776.42756627545,8516.605616743569,9999.980942445041,8755.514720898911,9999.93761121877,8641.472561330875,9999.879869208788,9999.900710671749
0.0,0.6,0.4,4.310061770343904,461512.72714201844,7.1834361369911175,2.2037308961656504e-7,9205.723382192753,8323.848869256057,8322.655297093374,9999.926651141286,9999.992176400061,9999.979864108951,9990.016870842974,8868.97751765685,8398.94226734934,9414.871050430422,8776.462900896235,8516.610263038048,9999.984135498757,8755.515005538839,9999.947979909508,8641.490535635829,9999.896224251843,9999.915219635179
0.0,0.7,0.30000000000000004,5.028405344501865,461573.615055277,7.183436057582699,3.4731327447338895e-7,9220.948104738747,8323.89806806067,8323.222404309492,9999.935638630413,9999.99330781059,9999.982753802968,9993.06329973576,8870.30326048546,8399.281481161512,9416.309633460382,8776.475609516301,8516.613005273572,9999.986416571097,8755.51517894577,9999.955404172524,8641.498277327006,9999.908913081466,9999.926291929678
0.0,0.8,0.19999999999999996,5.7467489122106405,461779.97204239044,7.183435990220817,6.001699296607786e-7,9283.059678209198,8323.939520274971,8323.576733627195,9999.943582117763,9999.99415622735,9999.984914197114,9997.25327674063,8874.51492058709,8400.099142397941,9419.303297346225,8776.482332992191,8516.609646661202,9999.98812769683,8755.515888511107,9999.960972944717,8641.50303315412,9999.919585363812,9999.935264280413
0.0,0.9,0.09999999999999998,6.46509249011987,461734.7614563674,7.183435949207992,1.358326765968897e-6,9266.13238737325,8323.955902361406,8323.723271979248,9999.949895024489,9999.994816570532,9999.986603060357,9997.603428593313,8874.20702255157,8400.147543470985,9419.55575692213,8776.485135177063,8516.616070588807,9999.98945799292,8755.515802841433,9999.965316969421,8641.504786229112,9999.92804694618,9999.942181567882
0.0,1.0,0.0,7.179488499669041,445096.73320428625,7.179488499669041,3.1974681705082943,8324.108253139055,8324.049707886472,8349.062819853172,9966.23092221822,9999.991851777428,9999.882461598849,8335.338954965076,8911.941672615043,8455.579455256973,9411.983233618072,8741.549040064376,8461.102532570969,9366.565771090327,8583.501324522818,8138.165452604044,7898.00917268954,9999.930153371171,9999.939540552
0.1,0.0,0.9,11600.372200979973,115973.67680248848,8.30512760698564,3.338356367905187,0.00014212944736222225,13.960501131664557,7.384168320713102,5914.931365092546,10000.000098631615,7884.62675516794,838.3586248019964,4331.752299634056,7.547634739638928,38.79757606389199,1326.8888195365541,838.0808729803399,3490.074403983716,2162.912692405619,4326.6925365859815,837.4396159726747,4.928617607239862e-6,4.736635148543939e-6
0.1,0.1,0.8,11600.754834790256,115972.90812561406,7.932434534197955,3.3384734692945983,2.187277703025327e-6,4.6108354278185225e-6,2.3184097636880003e-5,5935.747208966975,10000.000098631499,7884.4378746815055,838.3509644733236,4331.691033569376,1.3173580756555294e-5,47.014213390077174,1326.8738422007668,838.0694844719543,3490.0261413342814,2162.8926692505092,4326.6385019409345,837.4275340832404,2.9758343996713775e-7,2.81916336203669e-7
0.1,0.2,0.7,11601.214104977971,115972.908069312,7.930102949974827,3.338967795379602,2.386424215086102e-6,5.181351579435656e-6,2.841003447329715e-5,5935.916012878748,10000.000098631463,7884.249458631228,838.3447023813719,4331.629085228842,1.8915755227648056e-5,47.26341673252681,1326.8592687255305,838.0579490961295,3489.977592650677,2162.87244724699,4326.584120962998,837.4153816498828,3.18522244830516e-7,3.019536989101598e-7
0.1,0.3,0.6000000000000001,11601.67298793758,115972.9080250735,7.926700115499621,3.3402923259696116,2.6478670222211913e-6,6.013690267883674e-6,3.8910778330339414e-5,5936.08513700712,10000.000098631424,7884.05969753804,838.3394685405823,4331.566504197885,4.17563573621255e-5,47.513667533626,1326.845830669754,838.0460858803826,3489.9285543058054,2162.851985243395,4326.529313224777,837.4031415296433,3.4426700864723375e-7,3.2658806462552285e-7
0.1,0.4,0.5,11602.137529611527,115972.90852419325,7.939093845372627,3.3420793081422233,2.937286668616791e-6,7.036187363207338e-6,5.904650556136553e-5,5936.2203217411325,10000.000098631386,7883.869672838035,838.3344771712083,4331.50389654674,0.031932006369944345,47.78545361775712,1326.8313484069242,838.0263198578266,3489.8696613847687,2162.8313906898597,4326.474269151103,837.3908433560263,3.710981161033245e-7,3.5225972310763254e-7
0.1,0.5,0.4,11602.596891712974,115972.91064345995,7.935048473077155,3.345757826091909,3.065602479641227e-6,7.39370861474885e-6,6.124751859958778e-5,5936.293086832888,10000.000098631348,7883.675485824918,838.3298139533202,4331.440946838931,0.16031989091910626,48.03427665356107,1326.8182491889813,838.0038234033681,3489.807004996422,2162.8104083832786,4326.418541550129,837.3783943877893,3.847354257263321e-7,3.6531725709677854e-7
0.1,0.6,0.30000000000000004,11603.055389161462,115972.92924698046,7.928624345566926,3.3509661869606564,3.2297074225470827e-6,7.824065145438735e-6,5.785336141972829e-5,5935.773347736791,10000.000098631297,7883.429626470325,838.3257816920149,4331.3777986497325,1.2762897440796228,47.956702328224395,1326.8057689971374,837.9835322816173,3489.7313711978372,2162.789005606652,4326.362102474972,837.3657678965924,4.02216814834687e-7,3.8208364307430864e-7
0.1,0.7,0.20000000000000007,11603.51193175964,115973.00147274382,7.912453133998264,3.3653364572742563,3.5932321970779804e-6,8.700117058771193e-6,5.323660053536446e-5,5933.133474197794,10000.000098631257,7883.190585884556,838.3244582057315,4331.3043971954,5.5928132447596886,46.81818248337983,1326.795561970243,837.973128833333,3489.6483721742666,2162.7663071500488,4326.303396423117,837.3525893684791,4.414877762136571e-7,4.197670486628396e-7
0.1,0.8,0.09999999999999998,11603.964325746509,115973.04791140063,7.899532947863348,3.3990824815517615,3.962756286944633e-6,9.498946967750815e-6,4.8957836297513187e-5,5931.532959657536,10000.000098631226,7882.985770585046,838.3456676312753,4331.163799216495,8.355310652147516,46.2057683189137,1326.7920843721681,837.9621524406838,3489.610535461264,2162.728202575389,4326.208005805911,837.32983904697,4.812984265834397e-7,4.579945790724585e-7
