time,Capacity factor,hour,season
1900-01-01 00:00:00,0.0001,0,winter
1900-01-01 01:00:00,0.0001,1,winter
1900-01-01 02:00:00,0.0001,2,winter
1900-01-01 03:00:00,0.0001,3,winter
1900-01-01 04:00:00,0.0001,4,winter
1900-01-01 05:00:00,0.0001,5,winter
1900-01-01 06:00:00,0.0001,6,winter
1900-01-01 07:00:00,0.011483634,7,winter
1900-01-01 08:00:00,0.236699815,8,winter
1900-01-01 09:00:00,0.015611024,9,winter
1900-01-01 10:00:00,0.028359568,10,winter
1900-01-01 11:00:00,0.035987356,11,winter
1900-01-01 12:00:00,0.047272624,12,winter
1900-01-01 13:00:00,0.035241227,13,winter
1900-01-01 14:00:00,0.013054042,14,winter
1900-01-01 15:00:00,0.262658048,15,winter
1900-01-01 16:00:00,0.020587299,16,winter
1900-01-01 17:00:00,0.0001,17,winter
1900-01-01 18:00:00,0.0001,18,winter
1900-01-01 19:00:00,0.0001,19,winter
1900-01-01 20:00:00,0.0001,20,winter
1900-01-01 21:00:00,0.0001,21,winter
1900-01-01 22:00:00,0.0001,22,winter
1900-01-01 23:00:00,0.0001,23,winter
1900-01-02 00:00:00,0.0001,0,winter
1900-01-02 01:00:00,0.0001,1,winter
1900-01-02 02:00:00,0.0001,2,winter
1900-01-02 03:00:00,0.0001,3,winter
1900-01-02 04:00:00,0.0001,4,winter
1900-01-02 05:00:00,0.0001,5,winter
1900-01-02 06:00:00,0.0001,6,winter
1900-01-02 07:00:00,0.000596725,7,winter
1900-01-02 08:00:00,0.075345646,8,winter
1900-01-02 09:00:00,0.036630771,9,winter
1900-01-02 10:00:00,0.055903111,10,winter
1900-01-02 11:00:00,0.23257565,11,winter
1900-01-02 12:00:00,0.031963915,12,winter
1900-01-02 13:00:00,0.029464839,13,winter
1900-01-02 14:00:00,0.016592414,14,winter
1900-01-02 15:00:00,0.021534167,15,winter
1900-01-02 16:00:00,0.001656343,16,winter
1900-01-02 17:00:00,0.0001,17,winter
1900-01-02 18:00:00,0.0001,18,winter
1900-01-02 19:00:00,0.0001,19,winter
1900-01-02 20:00:00,0.0001,20,winter
1900-01-02 21:00:00,0.0001,21,winter
1900-01-02 22:00:00,0.0001,22,winter
1900-01-02 23:00:00,0.0001,23,winter
1900-01-03 00:00:00,0.0001,0,winter
1900-01-03 01:00:00,0.0001,1,winter
1900-01-03 02:00:00,0.0001,2,winter
1900-01-03 03:00:00,0.0001,3,winter
1900-01-03 04:00:00,0.0001,4,winter
1900-01-03 05:00:00,0.0001,5,winter
1900-01-03 06:00:00,0.0001,6,winter
1900-01-03 07:00:00,0.023070322,7,winter
1900-01-03 08:00:00,0.290522802,8,winter
1900-01-03 09:00:00,0.505323199,9,winter
1900-01-03 10:00:00,0.645009234,10,winter
1900-01-03 11:00:00,0.711780082,11,winter
1900-01-03 12:00:00,0.706937065,12,winter
1900-01-03 13:00:00,0.644681063,13,winter
1900-01-03 14:00:00,0.512217645,14,winter
1900-01-03 15:00:00,0.308661742,15,winter
1900-01-03 16:00:00,0.034340531,16,winter
1900-01-03 17:00:00,0.0001,17,winter
1900-01-03 18:00:00,0.0001,18,winter
1900-01-03 19:00:00,0.0001,19,winter
1900-01-03 20:00:00,0.0001,20,winter
1900-01-03 21:00:00,0.0001,21,winter
1900-01-03 22:00:00,0.0001,22,winter
1900-01-03 23:00:00,0.0001,23,winter
1900-01-04 00:00:00,0.0001,0,winter
1900-01-04 01:00:00,0.0001,1,winter
1900-01-04 02:00:00,0.0001,2,winter
1900-01-04 03:00:00,0.0001,3,winter
1900-01-04 04:00:00,0.0001,4,winter
1900-01-04 05:00:00,0.0001,5,winter
1900-01-04 06:00:00,0.0001,6,winter
1900-01-04 07:00:00,0.003271445,7,winter
1900-01-04 08:00:00,0.234811763,8,winter
1900-01-04 09:00:00,0.226117346,9,winter
1900-01-04 10:00:00,0.511378037,10,winter
1900-01-04 11:00:00,0.597243927,11,winter
1900-01-04 12:00:00,0.671010087,12,winter
1900-01-04 13:00:00,0.625026282,13,winter
1900-01-04 14:00:00,0.497545106,14,winter
1900-01-04 15:00:00,0.302126723,15,winter
1900-01-04 16:00:00,0.03394289,16,winter
1900-01-04 17:00:00,0.0001,17,winter
1900-01-04 18:00:00,0.0001,18,winter
1900-01-04 19:00:00,0.0001,19,winter
1900-01-04 20:00:00,0.0001,20,winter
1900-01-04 21:00:00,0.0001,21,winter
1900-01-04 22:00:00,0.0001,22,winter
1900-01-04 23:00:00,0.0001,23,winter
1900-01-05 00:00:00,0.0001,0,winter
1900-01-05 01:00:00,0.0001,1,winter
1900-01-05 02:00:00,0.0001,2,winter
1900-01-05 03:00:00,0.0001,3,winter
1900-01-05 04:00:00,0.0001,4,winter
1900-01-05 05:00:00,0.0001,5,winter
1900-01-05 06:00:00,0.0001,6,winter
1900-01-05 07:00:00,0.019733769,7,winter
1900-01-05 08:00:00,0.273388265,8,winter
1900-01-05 09:00:00,0.48058389,9,winter
1900-01-05 10:00:00,0.611142208,10,winter
1900-01-05 11:00:00,0.675814746,11,winter
1900-01-05 12:00:00,0.67569257,12,winter
1900-01-05 13:00:00,0.602561443,13,winter
1900-01-05 14:00:00,0.47982668,14,winter
