Season,Hour,Model,Parameters,Log_likelihood
winter,1,Gamma,"Gamma{Float64}(α=68.1370095150785, θ=0.009059462155238477)",106.12411366408821
winter,2,InverseGaussian,"InverseGaussian{Float64}(μ=0.6362679718057194, λ=46.93061472901635)",111.01704865694043
winter,3,InverseGaussian,"InverseGaussian{Float64}(μ=0.6320491032249692, λ=50.189852096733084)",115.00100891946346
winter,4,InverseGaussian,"InverseGaussian{Float64}(μ=0.6215039988799573, λ=49.41603858268835)",116.62216676932529
winter,5,Gamma,"Gamma{Float64}(α=78.53413538722886, θ=0.007674109747789907)",118.43138361642593
winter,6,Gamma,"Gamma{Float64}(α=73.84975021389418, θ=0.00785008484522946)",119.20787138901505
winter,7,InverseGaussian,"InverseGaussian{Float64}(μ=0.5548338350600319, λ=40.982388335552486)",123.81358867485804
winter,8,InverseGaussian,"InverseGaussian{Float64}(μ=0.5409362152852826, λ=39.00759539789951)",125.07918090822928
winter,9,InverseGaussian,"InverseGaussian{Float64}(μ=0.5322740855254445, λ=37.79717289755328)",125.88075298939151
winter,10,InverseGaussian,"InverseGaussian{Float64}(μ=0.5286765855822572, λ=37.873087352290256)",126.91176935002325
winter,11,InverseGaussian,"InverseGaussian{Float64}(μ=0.5302252706731593, λ=38.29623503855907)",127.0144256902243
winter,12,InverseGaussian,"InverseGaussian{Float64}(μ=0.5397165469583945, λ=40.09289411109645)",126.64519989741044
winter,13,Gamma,"Gamma{Float64}(α=74.35160492225064, θ=0.007554505554545531)",122.45944938734038
winter,14,Normal,"Normal{Float64}(μ=0.5967380464167473, σ=0.07431488882371051)",109.7870046358418
winter,15,Normal,"Normal{Float64}(μ=0.6132978408575729, σ=0.0775516926801742)",105.82209873796839
winter,16,Normal,"Normal{Float64}(μ=0.6172329255953096, σ=0.07399616572351604)",110.18672256703998
winter,17,Gamma,"Gamma{Float64}(α=74.95362370641476, θ=0.008241921133368713)",113.98178111017734
winter,18,InverseGaussian,"InverseGaussian{Float64}(μ=0.6154853922440426, λ=46.05190404649861)",114.75601922036009
winter,19,LogNormal,"LogNormal{Float64}(μ=-0.5029937414462754, σ=0.11659230000652866)",115.1808345446043
winter,20,LogNormal,"LogNormal{Float64}(μ=-0.5149483196798713, σ=0.11951469896835709)",113.9902898889668
winter,21,LogNormal,"LogNormal{Float64}(μ=-0.5255853112679827, σ=0.12290374491290455)",112.37905298377105
