alpha,beta,gamma,objective_cost,pv_bus_1,pv_bus_2,pv_bus_3,pv_bus_4,pv_bus_5,pv_bus_6,pv_bus_7,pv_bus_8,pv_bus_9,pv_bus_10,pv_bus_11,pv_bus_12,pv_bus_13,pv_bus_14,pv_bus_15,pv_bus_16,pv_bus_17,pv_bus_18
0.0,0.0,1.0,-1.2123340361930814e-8,8686.260084761498,8703.46442753498,8730.408407226492,8745.25494867135,8801.910221028427,8824.047049391425,8881.938584700838,8943.950318564539,8702.232220129408,8621.784717119353,8593.854346287244,8580.042340997192,8569.231699832877,8563.421140637798,8564.52407459763,8566.92942958202,8729.693559370347,8730.793997056639
0.0,0.25,0.75,1.664989352228184,8317.074511545685,8297.022020060784,8296.743315162199,9999.767145967257,9999.976577598198,9999.936819935368,9083.944918260295,8764.277860935477,8296.558236618386,8834.405353792015,8134.635618693638,8078.900469246149,9866.018117169968,8100.251103975667,9735.507669917262,8042.670814764886,9494.92010515412,9997.814919542341
0.0,0.5,0.5,3.3299784280073013,8302.269717674364,6351.657701688075,6025.344801494716,9999.913250604333,9999.988399464568,9999.969821755736,9168.19151845558,8767.420614497147,7491.800255819824,8837.972716011243,8613.430362702074,8459.564459649162,9866.575404967683,8608.065261395375,9739.23470433639,8455.065325600775,9495.367124276712,9999.628648775813
0.0,0.75,0.25,4.994967508397137,8320.46389296467,8360.197909152675,8378.851616129583,9999.942204379158,9999.992299641726,9999.97991443243,9246.096585715588,8758.496224938548,8277.57189590906,8828.666140031311,8611.345203046305,8458.766825031898,9851.274543766252,8607.2420223862,9710.15482021598,8460.772128376708,9564.374201959137,9999.752349198248
0.0,1.0,0.0,6.658036860221561,8302.220887688181,8302.21184867795,8302.23339969212,8732.4339180586,9999.991918317559,8754.064646755534,8358.761756564949,8750.0054752481,8307.638829324063,8559.353983338198,8529.36431954177,8417.357706129564,9090.93417968259,8488.496069459976,8941.082199583772,8413.437204180136,9534.809271444869,9999.911943671252
0.25,0.0,0.75,22317.59027600734,2.4625919134571026e-7,4.7641836686320003e-7,1.923904387314808e-6,3141.9537597248977,10000.000099622473,5055.230497896015,685.4290271998063,3541.4505336405837,8.112774554244309e-7,2.4704675163889188e-6,389.2886857191729,685.1512263332532,2853.078161634069,1768.1626552810312,3536.9535115424865,684.5783607028305,2.4309695788448753e-8,2.230402059490001e-8
0.25,0.25,0.5,22318.73591296996,1.0659821641444872e-6,2.1734948835724416e-6,1.0301602170791556e-5,3141.5639571918023,10000.00009890916,5055.074211180576,685.424229287985,3541.398770930772,5.592874706532384e-6,2.1856560312540156,387.8302866656643,685.1428764296528,2853.044980373746,1768.1418763033998,3536.9094034089853,684.5682550797202,1.5459172149630218e-7,1.472324827359549e-7
0.25,0.5,0.25,22319.863846551674,1.8542236563269727e-6,4.123563131179571e-6,1.3798739947602721e-5,3140.264372593135,10000.000098909108,5054.899591102278,685.4198842631939,3541.346637518425,0.6819400174354661,5.930078063535742,385.093912029799,685.1285594559903,2852.9921128712976,1768.1264368115806,3536.8644287724696,684.557939423928,2.352747270710168e-7,2.246861825178297e-7
0.25,0.75,0.0,22320.973298557066,2.6533281689420376e-6,5.8891356324080655e-6,1.5785781395902365e-5,3140.2906871400614,10000.00009890905,5054.74285611287,685.4050121853879,3541.271911378144,1.3525231857692117,4.883411490822576,385.8560962459268,685.1196625062805,2852.93371500735,1768.1037641452601,3536.80480970653,684.5448916370408,3.0635811281097166e-7,2.9298877621788603e-7
0.5,0.0,0.5,44632.36791468497,3.516925951285675e-7,6.692728853737162e-7,2.669286589330793e-6,3141.9476592833166,10000.000099454604,5055.224553113832,685.435849253126,3541.446687510346,1.1314565311016787e-6,3.4258824884909645e-6,389.26345536789324,685.1535718417774,2853.0835407662894,1768.1786880508353,3536.96445713361,684.5779464304534,4.423564572223472e-8,4.137389532912833e-8
