alpha,beta,gamma,objective_total_cost,obj_investment,obj_V_index,obj_Power_loss,pv_bus_1,pv_bus_2,pv_bus_3,pv_bus_4,pv_bus_5,pv_bus_6,pv_bus_7,pv_bus_8,pv_bus_9,pv_bus_10,pv_bus_11,pv_bus_12,pv_bus_13,pv_bus_14,pv_bus_15,pv_bus_16,pv_bus_17,pv_bus_18
0.0,0.0,100000.0,-0.017954904296364607,330137.7201404769,8.784104852662365,-1.7954904296364605e-7,3843.7411216984024,4105.330494786115,9992.71876317388,9992.878591824317,9993.197052598729,9993.12797616822,9992.935119374588,9991.814055745157,4172.418849919846,4905.288538348591,4800.529156493227,3782.608431607958,6525.101711062974,6342.172499968274,7343.884831826858,7512.302039445967,3148.006678295386,3177.0600805879217
0.0,10000.0,90000.0,79854.93950443486,488769.9094338927,7.985495566383541,-1.7954888745997508e-7,9999.999950928888,9999.99997434112,10000.00005569457,10000.000073244952,10000.000092482662,10000.000090669499,10000.000083925986,10000.000002155979,9169.77564919925,9556.276184565388,9999.99648402331,9248.299158063077,10000.000040714895,9456.988085171199,9999.999796564894,9659.21118950555,9999.999990483077,9999.999994603671
0.0,20000.0,80000.0,159709.89689163014,486659.61869141087,7.985495562776357,-1.7954870563528911e-7,10000.000033745882,10000.000044151324,10000.00008030865,10000.000088108849,10000.000096658958,10000.000095853107,10000.000092855984,10000.00005651352,8483.09999459614,9558.88890093762,9999.998492887758,9180.570114955346,10000.000073651088,9456.988074803367,9999.999965139983,9646.402491585504,10000.000051325676,10000.000053157062
0.0,30000.0,70000.0,239572.3657282232,488769.5872785373,7.985745943220725,-1.7954853278798685e-7,10000.000061352379,10000.000067422221,10000.000088513489,10000.000093063541,10000.000098051063,10000.000097580985,10000.000095832678,10000.000074633379,9169.638624680822,9556.350219297303,9999.999162515624,9248.269955864369,10000.000084629755,9456.964085637104,10000.000021331623,9659.207198694536,10000.000071606955,10000.00007267524
0.0,40000.0,60000.0,319419.8116658441,487988.2712842861,7.985495560968307,-1.7954814840486573e-7,10000.000075155313,10000.000079057354,10000.000092615852,10000.000095540863,10000.000098747114,10000.000098444922,10000.000097321015,10000.000083693056,9169.76999196318,9272.234271381116,9999.999497330757,9248.295309008829,10000.000090119112,9456.984369991878,10000.00004942746,9660.060204240193,10000.000081747436,10000.00008243418
0.0,50000.0,50000.0,399272.8080050228,488770.0086016301,7.985456339648163,-1.7954768737297925e-7,10000.000083436906,10000.000086038268,10000.000095077241,10000.000097027245,10000.000099164743,10000.00009896328,10000.00009821401,10000.000089128729,9169.777161012998,9556.307479567928,9999.999698220212,9248.298199260285,10000.00009341274,9456.988060807287,10000.000066284972,9659.211144939629,10000.000087831639,10000.00008828947
0.0,60000.0,40000.0,479130.5197277167,488099.4588446491,7.985508781964211,-1.7975336705991275e-7,10000.000093991324,10000.000094935045,10000.000098214137,10000.00009892155,10000.000099696987,10000.0000996239,10000.000099352083,10000.000096056187,8927.175741359917,9555.513663851105,9999.999954242003,9248.299933458491,10000.00009761027,9456.905934058283,10000.000087768867,9659.73363169978,10000.000095585605,10000.000095751695
0.0,70000.0,30000.000000000004,558984.8518874741,488769.8957939017,7.9854979607954295,-1.7894028546481697e-7,10000.00008343697,10000.00008603833,10000.000095077252,10000.00009702725,10000.000099164743,10000.000098963283,10000.000098214014,10000.00008912878,9169.76912532643,9556.282158883258,9999.999698220212,9248.294904903038,10000.000093412735,9456.984369029107,10000.000066284969,9659.210615080665,10000.000087831671,10000.000088289498
0.0,80000.0,19999.999999999996,638836.5036081208,488566.0270003954,7.985456339644751,-1.7817279446769748e-7,10000.000083436897,10000.000086038259,10000.00009507724,10000.000097027245,10000.000099164743,10000.00009896328,10000.00009821401,10000.000089128722,9118.982973895912,9556.310086459325,9999.999698220212,9225.591209760989,10000.00009341274,9456.447433678753,10000.000066284972,9659.343964534273,10000.000087831635,10000.000088289464
0.0,90000.0,9999.999999999998,718694.8147120334,488769.9184945421,7.985497960776151,-1.75782092148857e-7,10000.00008343698,10000.00008603834,10000.000095077254,10000.00009702725,10000.000099164743,10000.000098963283,10000.000098214014,10000.00008912879,9169.773248089816,9556.279574554821,9999.999698220212,9248.297355177538,10000.000093412735,9456.988068858192,10000.000066284967,9659.2111514118,10000.000087831677,10000.000088289504
