alpha,beta,gamma,objective_total_cost,obj_investment,obj_V_index,obj_Power_loss,pv_bus_1,pv_bus_2,pv_bus_3,pv_bus_4,pv_bus_5,pv_bus_6,pv_bus_7,pv_bus_8,pv_bus_9,pv_bus_10,pv_bus_11,pv_bus_12,pv_bus_13,pv_bus_14,pv_bus_15,pv_bus_16,pv_bus_17,pv_bus_18
0.0,0.0,200000.0,-0.0359151220383483,471577.80870131537,8.250577064477161,-1.7957561019174153e-7,9466.585596087038,9513.499566257453,9583.401282959447,9616.997761336173,9688.107288622097,9695.360486448115,9707.814523184416,9729.146450799235,9509.927874645327,9405.581269801713,9364.659425349479,9328.429605680825,9340.045097267372,9333.537555499455,9333.308021427432,9333.56596407357,9455.450972266317,9456.106150075459
0.0,5000.0,190000.0,-44986.74992891676,488966.21530381043,8.997343162922744,-1.7954896537889168e-7,8469.902230510148,9999.999953855795,10000.000055258008,10000.000068928653,10000.000081402763,10000.000081216282,10000.000079169637,10000.000081549715,9999.999974353552,9999.99975280068,9999.999786242803,9502.74946367386,9999.99983243068,9838.354761840998,9999.999603990567,9350.666684499472,9999.999860857703,9999.999858944167
0.0,10000.0,180000.0,-89890.67482277955,490641.7803857128,8.989064250398487,-1.7954886002154535e-7,9999.99988590713,10000.000054645081,10000.000081872278,10000.000086902046,10000.000091867332,10000.000091786467,10000.000090950396,10000.000091935975,10000.000059015396,10000.000012826533,9999.999997578634,9475.503159393123,10000.00000326186,9999.999757600726,9999.999897394175,9999.997348555386,9146.630150110941,9146.630147712773
0.0,15000.0,170000.0,-134691.21836346996,487946.36449850607,8.979412522677471,-1.7954887286129097e-7,7989.869716035542,10000.000056413133,10000.000086655897,10000.000090733107,10000.000094453455,10000.000094397838,10000.000093787436,10000.000094497283,10000.000062526498,9999.999996449302,10000.000006423263,9502.829873084434,10000.000020198579,9838.355163819926,9999.999952061804,9461.1055918629,10000.000028676843,10000.000028106138
0.0,20000.0,160000.0,-180073.44277039528,491138.8369071422,9.003670702129671,-1.7954875860606352e-7,9146.630144719944,10000.0000692328,10000.000090580634,10000.000093458664,10000.000096084792,10000.000096045533,10000.00009561466,10000.00009611573,10000.000073548117,10000.000026905387,10000.000033945831,9502.756905347029,10000.000043669581,9838.355726264002,9999.999995573029,9461.110265851792,10000.00004965424,10000.00004925139
0.0,25000.0,150000.0,-224819.41641873022,491140.6996752034,8.992775579457556,-1.7954861731606863e-7,9146.676861234797,10000.0000769246,10000.000092935476,10000.000095093998,10000.000097063594,10000.00009703415,10000.000096710995,10000.000097086797,10000.000080161088,10000.000045179038,10000.000050459372,9502.75608433962,10000.000057752184,9838.985457099356,10000.000021679767,9461.109432893278,10000.000062240679,10000.000061938543
0.0,30000.0,140000.0,-269783.29254960443,491151.9804484693,8.992775580427098,-1.7954849014261008e-7,9142.060248471731,10000.000082052467,10000.000094505369,10000.00009618422,10000.000097716129,10000.000097693228,10000.000097441885,10000.000097734175,10000.000084569734,10000.000057361474,10000.0000614684,9505.940108101955,10000.000067140587,9843.867967752783,10000.000039084262,9461.746666211173,10000.000070631639,10000.000070396643
0.0,35000.0,130000.0,-314694.11940035905,491153.8794517603,8.991259887402029,-1.795483829583203e-7,9146.629910214771,10000.000085715228,10000.000095626721,10000.000096962951,10000.000098182225,10000.000098163997,10000.000097963948,10000.000098196588,10000.000087718769,10000.000066063214,10000.00006933199,9507.917192968374,10000.000073846588,9838.356184937265,10000.000051516043,9461.399688716567,10000.000076625181,10000.000076438144
0.0,40000.0,120000.0,-360207.4775363671,493247.00786699675,9.005186399764623,-1.7954819311417824e-7,9960.12216968593,10000.000088462295,10000.000096467737,10000.000097547,10000.000098531797,10000.000098517074,10000.000098355496,10000.000098543398,10000.000090080592,10000.00007259027,10000.000075229851,9493.325988910821,10000.000078876297,9838.354229232074,10000.000060840573,9420.880405818318,10000.000081120363,10000.000080971535
0.0,45000.0,110000.00000000001,-404606.7147296914,491128.3523310575,8.991259888431365,-1.795479958826279e-7,9146.629701728125,10000.00009059891,10000.00009712186,10000.000098001257,10000.000098803686,10000.00009879169,10000.000098660035,10000.00009881314,10000.00009191748,10000.000077665534,10000.00007981678,9502.75746983357,10000.000082787925,9834.555954454981,10000.000068091753,9461.110816215387,10000.000084616573,10000.000084493478
0.0,50000.0,100000.0,-449595.0526721277,491139.37906817626,8.991900694348372,-1.7954708163865854e-7,9146.674108168663,10000.000092308199,10000.000097645157,10000.000098364666,10000.000099021197,10000.000099011382,10000.000098903665,10000.000099028932,10000.000093387029,10000.000081726344,10000.000083486457,9502.756613040847,10000.000085917392,9838.508450782629,10000.000073893252,9461.1099376082,10000.000087413559,10000.000087312847
0.0,55000.00000000001,89999.99999999999,-495285.26820017945,491139.1596184401,9.005186400743957,-1.7954733472113477e-7,9146.6344976682,10000.000093706709,10000.000098073311,10000.000098662,10000.000099199162,10000.000099191131,10000.000099102997,10000.00009920549,10000.000094589386,10000.000085048829,10000.000086488919,9502.757267435674,10000.000088477867,9838.373287842944,10000.000078639934,9461.20452359229,10000.000089702002,10000.000089619602
0.0,60000.0,80000.0,-539475.6077235098,491137.3051378161,8.991259889329276,-1.795468770640863e-7,9146.630145341382,10000.000094872134,10000.000098430104,10000.000098909777,10000.000099347464,10000.000099340921,10000.00009926911,10000.000099352621,10000.000095591353,10000.000087817563,10000.00008899097,9502.75746781171,10000.000090611595,9837.798989048284,10000.000082595501,9461.111042495426,10000.00009160904,10000.000091541897
0.0,65000.0,70000.0,-584488.773105971,491327.2563076816,8.992134777503765,-1.795460312540805e-7,9147.058765800004,10000.00009585826,10000.000098732007,10000.000099119436,10000.000099472953,10000.000099467667,10000.000099409664,10000.000099477116,10000.00009643917,10000.00009016034,10000.000091108092,9517.176975433713,10000.000092417058,9838.355746992853,10000.00008594252,9514.529028387331,10000.000093222685,10000.000093168455
0.0,70000.0,60000.00000000001,-629234.509267464,490303.61222492205,8.989064264277543,-1.7946731978856885e-7,10000.000088105946,10000.00009748028,10000.000098992903,10000.000099272334,10000.000099548184,10000.000099543691,10000.000099497243,10000.000099551999,10000.000097723077,10000.00009515703,10000.000094309924,9704.286160880203,10000.00009462566,10000.000080977843,10000.00008874411,9999.999947139417,9146.630245108456,8795.318626719218
0.0,75000.0,50000.0,-675388.9890558681,485533.517493094,9.005186401201888,-1.793146150600359e-7,7239.983881353624,10000.000096154099,10000.000098822578,10000.000099182333,10000.000099510598,10000.00009950569,10000.000099451832,10000.000099514466,10000.000096693513,10000.000090863172,10000.000091743228,9562.886760645773,10000.000092958697,9836.245428386943,10000.000086946626,9278.823711589883,10000.00009370678,10000.000093656423
0.0,80000.0,39999.99999999999,-717965.1867823704,490017.1173957678,8.974564745238366,-1.7908261329839164e-7,8735.320879340663,10000.000096154099,10000.000098822578,10000.000099182333,10000.000099510598,10000.00009950569,10000.000099451832,10000.000099514466,10000.000096693513,10000.000090863172,10000.000091743228,9501.711206530039,10000.000092958697,9838.355922894476,10000.000086946626,9467.044491571121,10000.00009370678,10000.000093656423
